City,Random Flag,NR2,K,Actual Num Cells,MAPE miMo vs PerBS,MAPE miMo Enhanced vs miMo,MAPE miMo Enhanced vs PerBS,MAPE Original vs PerBS
Milan,False,2,2,8,336.43,-33.95,188.24,135.90
Milan,False,2,3,12,238.51,-14.46,189.56,135.90
Milan,False,2,4,16,228.81,-15.14,179.01,135.90
Milan,False,2,5,20,220.19,-13.36,177.43,135.90
Milan,False,2,6,24,226.00,-12.56,185.07,135.90
Milan,False,2,10,37,189.01,-7.14,168.39,135.90
Milan,False,2,15,54,187.50,-9.91,159.02,135.90
Milan,False,2,20,71,167.59,-6.04,151.42,135.90
Milan,False,3,2,18,267.19,-23.36,181.40,135.90
Milan,False,3,3,27,207.40,-13.15,166.98,135.90
Milan,False,3,4,36,170.86,-4.22,159.43,135.90
Milan,False,3,5,45,195.28,-10.26,164.98,135.90
Milan,False,3,6,54,173.52,-8.79,149.48,135.90
Milan,False,3,10,72,165.70,-8.91,142.02,135.90
Milan,False,3,15,109,144.80,-4.99,132.58,135.90
Milan,False,3,20,126,132.53,-2.19,127.45,135.90
Milan,False,4,2,32,249.82,-21.10,176.01,135.90
Milan,False,4,3,48,170.26,-7.75,149.31,135.90
Milan,False,4,4,57,146.87,0.28,147.56,135.90
Milan,False,4,5,73,158.08,-3.21,149.81,135.90
Milan,False,4,6,89,154.39,-6.50,137.84,135.90
Milan,False,4,10,114,146.04,-5.38,132.79,135.90
Milan,False,4,15,172,118.52,0.04,118.60,135.90
Milan,False,4,20,189,113.33,-0.09,113.14,135.90
Milan,False,5,2,50,191.87,-10.68,160.70,135.90
Milan,False,5,3,66,154.73,-4.54,143.17,135.90
Milan,False,5,4,84,139.06,-1.22,136.15,135.90
Milan,False,5,5,109,132.26,2.95,139.11,135.90
Milan,False,5,6,134,138.58,-2.17,133.41,135.90
Milan,False,5,10,168,136.32,-6.87,120.07,135.90
Milan,False,5,15,235,109.48,-0.83,107.74,135.90
Milan,False,5,20,252,106.23,0.97,108.24,135.90
Milan,False,6,2,72,182.62,-12.20,148.14,135.90
Milan,False,6,3,88,139.60,1.16,142.38,135.90
Milan,False,6,4,117,133.57,-1.04,131.15,135.90
Milan,False,6,5,142,128.34,-0.01,128.31,135.90
Milan,False,6,6,178,127.12,-0.08,126.94,135.90
Milan,False,6,10,212,122.37,-3.52,114.53,135.90
Milan,False,6,15,301,105.33,-1.37,102.51,135.90
Milan,False,6,20,318,101.44,0.33,102.11,135.90
Milan,False,7,2,98,159.32,-5.74,144.43,135.90
Milan,False,7,3,114,136.15,-1.28,133.13,135.90
Milan,False,7,4,143,129.51,0.69,131.10,135.90
Milan,False,7,5,181,124.27,0.10,124.50,135.90
Milan,False,7,6,230,119.92,0.94,121.98,135.90
Milan,False,7,10,251,114.71,-1.28,111.97,135.90
Milan,False,7,15,353,97.88,2.61,103.05,135.90
Milan,False,7,20,370,97.83,1.08,99.97,135.90
